"dyadidyr","ccode_1","ccode_2","year","stateabb_1","majpow_1","numGPs","numstates","milex_1","milper_1","irst_1","pec_1","tpop_1","upop_1","cap_1","stateabb_2","majpow_2","milex_2","milper_2","irst_2","pec_2","tpop_2","upop_2","cap_2","dyad","conttype","colcont","alliance","distance"
200041994,200,41,1994,"UKG",1,7,187,35409000,257,17286,347376,58395,49922,0.0249233730137348,"HAI",0,-9,0,0,1968,7041,1300,0.000462223833892494,NA,0,0,0,7184.43798828125
200070861,200,70,1861,"UKG",1,6,42,26032,316,3772,81520,28976,5753,0.258389234542847,"MEX",0,-9,26,0,54,8509,201,0.00510376924648881,NA,0,0,0,8938.404296875
200070862,200,70,1862,"UKG",1,6,41,23575,305,4006,82989,29245,5891,0.250594258308411,"MEX",0,-9,27,0,64,8611,205,0.00521481921896338,NA,0,0,0,8938.404296875
200070913,200,70,1913,"UKG",1,8,44,67734,533,7787,220455,45648,17768,0.112747505307198,"MEX",0,4478,31,0,1459,15370,641,0.00534596154466271,NA,0,0,0,8938.404296875
200070914,200,70,1914,"UKG",1,8,45,1678843,532,7971,213992,46048,17852,0.137909442186356,"MEX",0,22000,30,0,1310,15090,690,0.00456235092133284,NA,0,0,0,8938.404296875
200070916,200,70,1916,"UKG",1,8,44,6213396,-9,9136,224058,43710,18084,0.15320748090744,"MEX",0,-9,200,0,3185,14030,660,0.00542748905718327,NA,0,0,0,8938.404296875
200090913,200,90,1913,"UKG",1,8,44,67734,533,7787,220455,45648,17768,0.112747505307198,"GUA",0,125,7,0,0,1170,0,0.000366718420991674,NA,0,0,0,8771.6865234375
200090972,200,90,1972,"UKG",1,5,140,8151113,370,25293,349523,56097,21362,0.0284563209861517,"GUA",0,22500,14,0,3061,5544,705,0.000572038115933537,NA,0,0,0,8771.6865234375
200090975,200,90,1975,"UKG",1,5,150,11475228,348,20098,342314,56226,34667,0.0280552431941032,"GUA",0,42900,13,0,3425,6023,736,0.000563029781915247,NA,0,0,0,8771.6865234375
200090977,200,90,1977,"UKG",1,5,152,11886891,326,20411,346357,56190,34921,0.0262940153479576,"GUA",0,77700,14,0,3365,6364,742,0.000571199227124453,NA,0,0,0,8771.6865234375
200100836,200,100,1836,"UKG",1,5,29,7721,143,970,35474,25316,3258,0.299510627985001,"COL",0,-9,3,0,0,1717,0,0.00142442679498345,NA,0,0,0,8570.6591796875
200100837,200,100,1837,"UKG",1,5,30,8448,143,1030,36676,25651,3346,0.300794720649719,"COL",0,-9,3,0,0,1750,0,0.00147459399886429,NA,0,0,0,8570.6591796875
200100856,200,100,1856,"UKG",1,5,43,32369,382,3644,73272,28011,5162,0.295699566602707,"COL",0,-9,2,0,0,2402,0,0.00140655576251447,NA,0,0,0,8570.6591796875
200100857,200,100,1857,"UKG",1,5,43,18866,272,3718,75317,28187,5275,0.290048897266388,"COL",0,-9,1,0,0,2435,0,0.00138500262983143,NA,0,0,0,8570.6591796875
200101858,200,101,1858,"UKG",1,5,43,19531,292,3511,73912,28390,5391,0.289561301469803,"VEN",0,-9,10,0,0,1464,0,0.00141773256473243,NA,0,0,0,7495.81201171875
200101859,200,101,1859,"UKG",1,5,44,24324,315,3773,75908,28591,5509,0.290498465299606,"VEN",0,-9,10,0,0,1484,0,0.00141023052856326,NA,0,0,0,7495.81201171875
